,Unnamed: 0,Unnamed: 0.1,anime_id,name,genre,type,episodes,rating,Length,TweetCnt,NewRating
0,0,0,5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,normal,333.0,9.2933
1,1,1,28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,normal,4.0,9.2504
2,2,2,9253,Steins Gate,"Sci-Fi, Thriller",TV,24,9.17,short,533.0,9.2233
3,3,3,9969,Gintama',"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,normal,14.0,9.1614
4,4,4,32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,short,0.0,9.15
5,5,5,11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,long,69.0,9.1369
6,6,6,15417,Gintama': Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,short,3.0,9.1103
7,7,7,4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,short,14.0,9.0614
8,8,8,918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,long,1169.0,9.1569
9,9,9,2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,short,2.0,8.9802
10,10,10,28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,short,4.0,8.9304
11,11,11,23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,short,184.0,8.9384
12,12,12,24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,short,3.0,8.8803
13,13,13,1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,short,14.0,8.8314
14,14,14,263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,normal,321.0,8.8621
